bohr_id,X,Y,latitude,longitude,dataset
Rockensussra_6_1969,4408463.8,5682159.7,51.26694451766112,10.68695558463243,All Points
Rockensussra_8_1970,4409585.0,5681999.0,51.265679381761366,10.703056399905607,All Points
Roldisleben_1_1962,4453973.1,5671143.0,51.17342011219586,11.340361516806666,All Points
Schleusingen_4_1964,4410104.7,5605004.1,50.573828175995104,10.729476276240657,All Points
Schlotheim_2_1984,4409743.7,5679562.8,51.24381240918088,10.705944014196051,All Points
Schorngraben_2_1963,4363622.0,5628075.66,50.77211045649311,10.065119941576038,All Points
Schorngraben_3_1964,4363385.15,5627310.71,50.76518237592293,10.062048200389786,All Points
Seebergen_1_1964,4415659.8,5642437.1,50.91107818015648,10.799308883783246,All Points
Straussfurt_1_1959,4429280.6,5668426.4,51.14648451677708,10.987869718441683,All Points
Straussfurt_3_1964,4428999.4,5671551.3,51.174533807063064,10.983235113442099,All Points
Straussfurt_5_1965,4430016.6,5671989.2,51.17859470817611,10.997692686776704,All Points
Straussfurt_8_1970,4428991.2,5671561.5,51.174624458038345,10.98311586398217,All Points
Straussfurt_S4_1965,4428226.9,5672499.8,51.182961668716594,10.972001364461352,All Points
Straussfurt_T2_1963,4429835.3,5671174.0,51.17124611299716,10.99525955760214,All Points
Struth_Heimersdorf_1_1962,4396762.5,5623470.8,50.73757346933606,10.536041463576751,All Points
Tennstedt_1_1969,4417218.9,5669625.1,51.15563968310844,10.81526141825088,All Points
Tennstedt_2_1970,4417308.2,5669285.7,51.15260250552523,10.816615516764978,All Points
Themar_1_1963,4405009.7,5597323.5,50.50399558459931,10.659529127965403,All Points
Thueringen_Sued_1_1963,4398404.7,5595329.6,50.48496828765502,10.566997618737677,All Points
Wattensattel_1_1962,4398401.6,5690263.0,51.33805214501139,10.540524655619945,All Points
Weimar_2_1971,4446937.5,5652233.3,51.002851117858675,11.242547730774158,All Points
Wiegleben_3_1963,4398647.3,5659706.2,51.06352275154989,10.552676257661838,All Points
Wiesenthal_2_1963,4371941.5,5618980.69,50.69229001675881,10.18615539228921,All Points
Wipfra_2_1963,4425849.1,5620667.6,50.716820879797766,10.948556464748442,All Points
Zeitz_5_1965,4499494.4,5659647.6,51.071946686942916,11.991281503764803,All Points
Zella_Mehlis_1_1964,4408004.6,5616842.0,50.67988987589526,10.696901782902314,All Points
Ziegenrueck_1_1964,4475767.4,5608475.3,50.6114486328806,11.656149685995205,All Points
Zoppoten_3_1964,4477417.9,5595879.0,50.49828165064348,11.680232253749878,All Points
